Date,Open,High,Low,Close,Adj Close,Volume
2023-07-17,99.665001,99.864998,99.449997,99.528999,99.528999,14607
2023-07-18,99.595001,99.790001,99.220001,99.625000,99.625000,19202
2023-07-19,99.650002,100.245003,99.605003,99.987999,99.987999,13466
2023-07-20,99.964996,100.684998,99.745003,100.597000,100.597000,15091
2023-07-21,100.504997,100.925003,100.449997,100.797997,100.797997,13828
2023-07-24,100.714996,101.160004,100.625000,101.083000,101.083000,14265
2023-07-25,101.150002,101.394997,100.930000,101.096001,101.096001,10854
2023-07-26,101.055000,101.190002,100.595001,100.636002,100.636002,18449
2023-07-27,100.845001,101.614998,100.320000,101.543999,101.543999,24611
2023-07-28,101.480003,101.824997,101.095001,101.399002,101.399002,19385
2023-07-31,101.459999,101.665001,101.294998,101.625999,101.625999,12464
2023-08-01,101.660004,102.224998,101.620003,102.084999,102.084999,14725
2023-08-02,101.815002,102.580002,101.785004,102.389000,102.389000,12795
2023-08-03,102.415001,102.654999,102.175003,102.349998,102.349998,15138
2023-08-04,102.290001,102.449997,101.550003,101.835999,101.835999,18985
2023-08-07,101.839996,102.190002,101.769997,101.861000,101.861000,8180
2023-08-08,101.894997,102.629997,101.885002,102.339996,102.339996,11412
2023-08-09,102.349998,102.404999,102.120003,102.311996,102.311996,8116
2023-08-10,102.330002,102.500000,101.599998,102.366997,102.366997,17705
2023-08-11,102.489998,102.764999,102.264999,102.689003,102.689003,17970
2023-08-14,102.714996,103.324997,102.629997,103.057999,103.057999,16466
2023-08-15,103.004997,103.160004,102.680000,103.095001,103.095001,18642
2023-08-16,103.095001,103.410004,102.824997,103.319000,103.319000,14041
2023-08-17,103.364998,103.495003,102.945000,103.470001,103.470001,16785
2023-08-18,103.309998,103.574997,103.129997,103.276001,103.276001,12519
2023-08-21,103.269997,103.410004,103.050003,103.206001,103.206001,12438
2023-08-22,103.220001,103.625000,102.925003,103.473000,103.473000,16277
2023-08-23,103.514999,103.904999,103.214996,103.333000,103.333000,19579
2023-08-24,103.275002,103.964996,103.190002,103.918999,103.918999,16063
2023-08-25,104.014999,104.385002,103.675003,104.013000,104.013000,20825
2023-08-28,104.154999,104.154999,103.925003,103.991997,103.991997,9950
2023-08-29,103.904999,104.294998,103.305000,103.471001,103.471001,18400
2023-08-30,103.480003,103.635002,102.855003,103.093002,103.093002,18829
2023-08-31,103.084999,103.690002,102.955002,103.586998,103.586998,17585
2023-09-01,103.584999,104.254997,103.214996,104.191002,104.191002,19162
2023-09-05,104.099998,104.855003,104.070000,104.763000,104.763000,15419
2023-09-06,104.720001,105.014999,104.550003,104.820999,104.820999,12581
2023-09-07,104.830002,105.125000,104.785004,105.028000,105.028000,15068
2023-09-08,105.019997,105.070000,104.629997,105.066002,105.066002,21732
2023-09-11,104.839996,104.904999,104.389999,104.539001,104.539001,17462
2023-09-12,104.559998,104.904999,104.400002,104.690002,104.690002,16201
2023-09-13,104.584999,105.000000,104.500000,104.749001,104.749001,24403
